            ingredient_id             |                                   name                                   
 aefb1eaa-2cf1-4e8c-ad9c-0a37eb173c42 | reboxetine
 0790f67b-2914-4b0a-b4fb-ce9b607178a1 | colocynth
 80de6387-2e29-4fe6-9d53-cf398d73497e | gogoba oil
 a4094d2c-3bdd-4c6d-a3a3-20cac27d503b | calendulaoil
 fc3a69b3-b6e5-4bc4-9aa1-30fac191fe0a | folic acid 400 mg
 715793ce-7f7a-4635-b9da-b2dd48d32356 | cetrimonium bromide
 550591b0-ba07-4545-bd58-4a6715823030 | calcium 600mg (elemental)
 6d1b3451-ef25-4adb-93f0-0cbe4ed81874 | chlorambucil
 b94c0559-8986-41a0-9adc-04a8c7deee0a | jojoba
 be5db2c3-6205-4955-8057-6e0f5d7e3796 | LACTOFERRIN 200 MG
 802e1152-0b51-433d-97eb-bfd32b194039 | magnesium hydrogen aspartate
 fc1fe99d-6ceb-49bf-876f-846940de17b8 | acetylcystiene
 5aa3df74-ced1-4f7e-8d45-e31ecb71090e | pancreatin
 fb2f7e73-0268-41ad-8ac2-8eb5fd81370e | ALO VERA EXTRACT
 888280cc-05e4-4139-8ea8-67d10c47646f | palmitic acid
 284ef732-7d95-4eb7-b37f-380a9baee514 | histidin
 3cfaef60-edf8-48a4-8a00-85b7d8ffbcd7 | green coffee extract
 443cf4c7-6e18-46ce-b40f-d258c348d49d | mecobalamin
 c6f8606f-fb44-49c6-933a-70a180f9354c | vitamin c 40 mg
(100 rows)

